district,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price_sale,price_growth_qoq,price_growth_yoy,ine_transaction_count_national,ine_transaction_value_thousands_national,ine_price_value_index_national,ine_volume_index_national,mortgage_rate_fixed_pct_national,fdi_realestate_transactions_meur_national,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional
madeira,2T2016,2016,2,2016-04-01,1162.6666666666667,5.8,7.05847149636076,0.013658820110433068,-0.0071164247082264875,26890.0,3267885.0,100.5101875107177,118.83901048514512,,401.38,14413.24,127838.92,1.3666666666666665,10356516.0,13.6
madeira,3T2016,2016,3,2016-07-01,1167.0,5.633333333333333,7.062191632286556,0.003727064220183429,-0.046828205826299985,26675.0,3173236.0,98.38571929954205,117.8888287352639,,331.47,14744.71,127838.92,1.2000000000000002,10356516.0,13.9
madeira,4T2016,2016,4,2016-10-01,1153.1666666666667,5.666666666666667,7.050267060270756,-0.011853756069694299,0.007719196038450393,28999.0,3551512.0,101.2894901297318,128.15963053398005,,408.85,15153.56,127838.92,1.2000000000000002,10356516.0,11.5
madeira,1T2017,2017,1,2017-01-01,1201.3333333333333,5.966666666666666,7.0911873300601185,0.041769041769041726,0.04736995059575699,29975.0,3800102.0,104.85042196590872,132.4730137334409,,489.78,15643.34,138586.19,1.2666666666666668,10340124.0,13.1
madeira,2T2017,2017,2,2017-04-01,1212.6666666666667,5.7,7.100577070409958,0.009433962264151052,0.043004587155963225,31197.0,4021419.0,106.61065537213086,137.8735816327658,,370.69,16014.03,138586.19,1.3333333333333333,10340124.0,11.5
madeira,3T2017,2017,3,2017-07-01,1280.1666666666667,6.366666666666667,7.154745556770627,0.055662451896646425,0.09697229363039139,32722.0,4258992.0,107.64679513938984,144.61324288192336,,384.08,16398.1,138586.19,1.5,10340124.0,9.6
madeira,4T2017,2017,4,2017-10-01,1331.0,6.933333333333334,7.193685818395112,0.0397083713058195,0.15421303656597773,35940.0,4898678.0,112.72881483438267,158.83503298014563,,440.43,16838.54,138586.19,1.7666666666666668,10340124.0,9.1
madeira,1T2018,2018,1,2018-01-01,1321.5,7.366666666666667,7.186522734044344,-0.007137490608564945,0.1000277469478359,34449.0,4755125.0,114.16144018167434,152.2456330309693,,495.45,17333.99,136252.87,1.8,10334633.0,9.1
madeira,2T2018,2018,2,2018-04-01,1315.1666666666667,7.566666666666666,7.18171867929298,-0.004792533736915017,0.08452446399120395,38730.0,5425227.0,115.8522674050557,171.16529847860434,,514.24,17848.23,136252.87,1.9000000000000001,10334633.0,8.700000000000001
madeira,3T2018,2018,3,2018-07-01,1384.6666666666667,7.633333333333333,7.233214715767948,0.052845013306298316,0.08162999609425858,38964.0,5512302.0,117.00477583884005,172.19944977847507,,434.61,18282.84,136252.87,2.1333333333333333,10334633.0,9.2
madeira,4T2018,2018,4,2018-10-01,1295.6666666666667,8.066666666666668,7.166780642184113,-0.06427539720751085,-0.02654645629852237,39066.0,5414883.0,114.63685212246476,172.65023367841872,2.64,498.33,18781.17,136252.87,2.233333333333334,10334633.0,9.0
madeira,1T2019,2019,1,2019-01-01,1320.8333333333333,8.0,7.186018129517426,0.019423720092616392,-0.000504477235464762,36954.0,5261090.0,117.7466059092851,163.31635527958545,2.8666666666666667,445.76,19226.93,148342.92,2.366666666666667,10354446.0,7.5
madeira,2T2019,2019,2,2019-04-01,1350.1666666666667,8.033333333333333,7.207983320602437,0.022208201892744528,0.026612596629071117,36681.0,5414806.0,122.08880842455076,162.10984542973628,3.1566666666666667,415.35,19642.28,148342.92,2.466666666666667,10354446.0,7.1000000000000005
madeira,3T2019,2019,3,2019-07-01,1404.3333333333333,7.966666666666666,7.247317973310907,0.04011850388840865,0.014203177660086608,39554.0,5800028.0,121.2757031962132,174.80692527814915,2.4133333333333336,418.47,20060.75,148342.92,2.4000000000000004,10354446.0,7.4
madeira,4T2019,2019,4,2019-10-01,1401.0,7.866666666666667,7.244941546337007,-0.0023736055067646866,0.0812966297916129,41676.0,6136268.0,121.77339389322496,184.18499817697688,2.1866666666666665,490.46,20551.21,148342.92,2.4000000000000004,10354446.0,7.2
madeira,1T2020,2020,1,2020-01-01,1431.6666666666667,7.866666666666667,7.266594545750246,0.021889126814180315,0.08391167192429028,36399.0,5785538.0,131.4584231641285,160.86356052989206,2.21,468.51,21019.72,150377.77,2.533333333333333,10384846.0,5.7
madeira,2T2020,2020,2,2020-04-01,1446.0,7.933333333333334,7.27655640271871,0.010011641443538943,0.07097889149487702,26379.0,4125502.0,129.34587844472952,116.5806715354274,2.21,274.49,21294.21,150377.77,2.2,10384846.0,6.6000000000000005
madeira,3T2020,2020,3,2020-07-01,1438.3333333333333,7.666666666666667,7.271240314849418,-0.005301982480405809,0.024210776169000692,35596.0,5427603.0,126.10752326248976,157.31474218033566,2.08,352.27,21646.48,150377.77,2.1333333333333333,10384846.0,8.6
madeira,4T2020,2020,4,2020-10-01,1489.1666666666667,7.8,7.305971958365474,0.035341830822711584,0.06293123959076863,39139.0,6098441.0,128.86744612614154,172.97285352837838,2.1266666666666665,488.87,22135.35,150377.77,2.1,10384846.0,10.5
madeira,1T2021,2021,1,2021-01-01,1548.8333333333333,8.133333333333333,7.3452572383292845,0.04006715165081132,0.08183934807916171,34614.0,5595240.0,133.69065495381548,152.97484228087814,1.9566666666666668,345.02,22480.37,164176.4,1.9000000000000001,,9.3
madeira,2T2021,2021,2,2021-04-01,1563.0,7.933333333333334,7.354362330421477,0.009146669536210128,0.08091286307053935,41736.0,6933006.0,137.38675721914424,184.45016517694373,2.1933333333333334,512.35,22992.72,164176.4,2.866666666666667,,8.1
madeira,3T2021,2021,3,2021-07-01,1595.1666666666667,8.0,7.374733502967851,0.020580081040733722,0.10903823870220175,43447.0,7345978.0,139.83759623515712,192.0118441259985,2.18,570.74,23563.46,164176.4,4.033333333333334,,7.3
madeira,4T2021,2021,4,2021-10-01,1655.0,8.333333333333334,7.411556287811163,0.03750914220039703,0.11135982092893104,45885.0,8225207.0,148.2552976019511,202.7864632246517,2.1533333333333333,700.74,24264.2,164176.4,5.300000000000001,,6.3
madeira,1T2022,2022,1,2022-01-01,1692.8333333333333,9.299999999999999,7.434158932711446,0.02286002014098676,0.09297320563865275,43544.0,8081797.0,153.50189341648706,192.44053077594492,2.3266666666666667,615.95,24880.15,175732.61,6.766666666666667,10764411.0,7.0
madeira,2T2022,2022,2,2022-04-01,1810.3333333333333,9.9,7.501266269366735,0.06941025893472474,0.15824269567071858,43607.0,8287705.0,157.1853964180325,192.71895612591013,2.98,1047.15,25927.3,175732.61,8.666666666666666,10764411.0,7.1
madeira,3T2022,2022,3,2022-07-01,1898.8333333333333,10.633333333333333,7.548994941470061,0.0488860246731726,0.1903667328387837,42223.0,8051492.0,157.71078703058802,186.6024373266747,3.2266666666666666,738.85,26666.15,175732.61,10.333333333333334,10764411.0,6.1
madeira,4T2022,2022,4,2022-10-01,2023.6666666666667,10.866666666666667,7.612666326462325,0.06574212235583254,0.2227593152064451,38526.0,7362219.0,158.04797371910158,170.26373067871702,3.9066666666666667,762.23,27428.38,175732.61,11.566666666666668,10764411.0,6.9
madeira,1T2023,2023,1,2023-01-01,2137.3333333333335,11.0,7.667314225061334,0.056168670729698666,0.26257753273604423,34493.0,6857332.0,164.42139501587408,152.440088830945,4.003333333333333,850.7,28279.08,192753.71,,11067026.0,6.5
madeira,2T2023,2023,2,2023-04-01,2214.6666666666665,12.366666666666667,7.702857182065076,0.03618215845290074,0.22334744982507826,33624.0,6904628.0,169.83415260390527,148.59958678142505,4.073333333333333,1030.38,29309.46,192753.71,,11067026.0,6.4
madeira,3T2023,2023,3,2023-07-01,2342.5,13.4,7.758974014112577,0.057721252257676214,0.23365224260510842,34256.0,7072380.0,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31,30449.77,192753.71,,11067026.0,4.9
madeira,4T2023,2023,4,2023-10-01,2496.6666666666665,13.1,7.822711787843155,0.06581287797936675,0.2337341459397133,34126.0,7174277.0,173.87088910761483,150.81815068114773,3.966666666666667,853.13,31302.9,192753.71,,11067026.0,6.1
madeira,1T2024,2024,1,2024-01-01,2613.5,13.799999999999999,7.868445598152976,0.04679572763684914,0.2227854023705551,33077.0,6730533.0,168.28967248471187,146.18214763172722,3.813333333333333,664.25,31967.15,201383.75,,11295785.0,5.9
madeira,2T2024,2024,2,2024-04-01,2657.8333333333335,14.033333333333333,7.885266533519918,0.016963203877303767,0.20010535821794107,37125.0,7876682.0,175.47327047702692,164.072081229491,3.8699999999999997,863.79,32830.94,201383.75,,11295785.0,5.2
madeira,3T2024,2024,3,2024-07-01,2751.8333333333335,13.666666666666666,7.920022635203778,0.035367153696620024,0.17474208466737817,40909.0,9052016.0,183.003994750677,180.7952800274006,3.6733333333333333,962.02,33792.96,201383.75,,11295785.0,5.7
madeira,4T2024,2024,4,2024-10-01,2891.1666666666665,14.9,7.969415390533354,0.05063291139240489,0.15801068090787718,45214.0,10173942.0,186.10174614443363,199.8210122750224,3.41,1048.07,34841.03,201383.75,,11295785.0,5.7
madeira,1T2025,2025,1,2025-01-01,3014.5,15.6,8.01118925792946,0.04265867296938963,0.1534340922135069,41358.0,9617638.0,192.3282226547581,182.77961307715256,3.4499999999999997,968.9,35809.93,213730.82,,11405627.0,6.7
portalegre,1T2015,2015,1,2015-01-01,693.0,,6.541029999189903,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,14.2
portalegre,2T2015,2015,2,2015-04-01,681.6666666666666,,6.524540779808793,-0.016354016354016454,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,12.4
portalegre,3T2015,2015,3,2015-07-01,658.3333333333334,3.1,6.4897113886671125,-0.03422982885085568,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,12.3
portalegre,4T2015,2015,4,2015-10-01,653.3333333333334,3.3499999999999996,6.482087463556454,-0.0075949367088608,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,12.5
portalegre,1T2016,2016,1,2016-01-01,661.3333333333334,,6.494257999176709,0.012244897959183598,-0.04569504569504568,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,12.8
