district,quarter,price_sqm_sale,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,avg_transaction_value,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur
castelo-branco,2017Q3,679.0,6.520621127558696,-0.002941178590815774,-0.029982903593826826,32722,4258992,130156.83637919444,107.64679513938984,144.61324288192336,,384.08
castelo-branco,2017Q4,671.0,6.508769136971682,-0.01185199058701425,-0.018213646492662328,35940,4898678,136301.55815247635,112.72881483438267,158.83503298014563,,440.43
castelo-branco,2018Q1,673.3333333333334,6.512240501727141,0.00347136475545895,-0.006415023233095951,34449,4755125,138033.76005109,114.16144018167434,152.2456330309693,,495.45
castelo-branco,2018Q2,659.6666666666666,6.491734656934456,-0.02050584479268469,-0.031827649215055764,38730,5425227,140078.15646785437,115.8522674050557,171.16529847860434,,514.24
castelo-branco,2018Q3,680.6666666666666,6.523072710056501,0.03133805312204441,0.0024515824978044165,38964,5512302,141471.66615337235,117.00477583884005,172.19944977847507,,434.61
castelo-branco,2018Q4,660.6666666666666,6.493249426221824,-0.029823283834677028,-0.015519710749858362,39066,5414883,138608.58547074182,114.63685212246476,172.65023367841872,2.64,498.33
castelo-branco,2019Q1,678.6666666666666,6.520130089002303,0.026880662780479625,0.007889587275162313,36954,5261090,142368.62044704228,117.7466059092851,163.31635527958545,2.8666666666666667,445.76
castelo-branco,2019Q2,680.0,6.522092798170152,0.0019627091678486863,0.03035814123569569,36681,5414806,147618.82173332243,122.08880842455076,162.10984542973628,3.1566666666666667,415.35
castelo-branco,2019Q3,681.3333333333334,6.524051662655485,0.0019588644853332227,0.000978952598984506,39554,5800028,146635.68792031147,121.2757031962132,174.80692527814915,2.4133333333333336,418.47
castelo-branco,2019Q4,689.0,6.535241271013659,0.011189608358173508,0.04199184479183504,41676,6136268,147237.45081101832,121.77339389322496,184.18499817697688,2.1866666666666665,490.46
castelo-branco,2020Q1,688.6666666666666,6.534757361011474,-0.0004839100021847287,0.014627272009170689,36399,5785538,158947.71834391056,131.4584231641285,160.86356052989206,2.21,468.51
castelo-branco,2020Q2,688.6666666666666,6.534757361011474,0.0,0.012664562841322002,26379,4125502,156393.41900754388,129.34587844472952,116.5806715354274,2.21,274.49
castelo-branco,2020Q3,693.6666666666666,6.541991537725525,0.0072341767140509106,0.01793987507003969,35596,5427603,152477.8907742443,126.10752326248976,157.31474218033566,2.08,352.27
castelo-branco,2020Q4,685.3333333333334,6.529905337906946,-0.012086199818578613,-0.005335933106712432,39139,6098441,155814.94161833465,128.86744612614154,172.97285352837838,2.1266666666666665,488.87
castelo-branco,2021Q1,703.6666666666666,6.556304759180211,0.026399421273264778,0.021547398168737075,34614,5595240,161646.7325359681,133.69065495381548,152.97484228087814,1.9566666666666668,345.02
castelo-branco,2021Q2,713.0,6.569481420414296,0.013176661234084897,0.03472405940282197,41736,6933006,166115.7274295572,137.38675721914424,184.45016517694373,2.1933333333333334,512.35
castelo-branco,2021Q3,727.3333333333334,6.589384877724907,0.01990345731061094,0.047393339999382,43447,7345978,169079.0618454669,139.83759623515712,192.0118441259985,2.18,570.74
castelo-branco,2021Q4,720.6666666666666,6.5801767095310435,-0.009208168193863386,0.05027137162409723,45885,8225207,179256.99030184155,148.2552976019511,202.7864632246517,2.1533333333333333,700.74
castelo-branco,2022Q1,706.6666666666666,6.560559078997948,-0.019617630533095287,0.004254319817737162,43544,8081797,185600.70273746096,153.50189341648706,192.44053077594492,2.3266666666666667,615.95
castelo-branco,2022Q2,700.6666666666666,6.552032262768787,-0.008526816229161405,-0.01744915764550914,43607,8287705,190054.4637328869,157.1853964180325,192.71895612591013,2.98,1047.15
castelo-branco,2022Q3,719.3333333333334,6.57832485714997,0.026292594381183143,-0.011060020574936935,42223,8051492,190689.7188735997,157.71078703058802,186.6024373266747,3.2266666666666666,738.85
castelo-branco,2022Q4,713.3333333333334,6.569948819347788,-0.00837603780218199,-0.010227890183255539,38526,7362219,191097.41473290764,158.04797371910158,170.26373067871702,3.9066666666666667,762.23
castelo-branco,2023Q1,744.0,6.612041034833092,0.04209221548530362,0.05148195583514337,34493,6857332,198803.58333574928,164.42139501587408,152.440088830945,4.003333333333333,850.7
castelo-branco,2023Q2,775.0,6.652863029353347,0.0408219945202557,0.10083076658456047,33624,6904628,205348.20366404948,169.83415260390527,148.59958678142505,4.073333333333333,1030.38
castelo-branco,2023Q3,765.6666666666666,6.640746914020989,-0.012116115332358568,0.06242205687101876,34256,7072380,206456.67912190565,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31
castelo-branco,2023Q4,833.0,6.725033642166843,0.08428672814585436,0.1550848228190551,34126,7174277,210229.0628846041,173.87088910761483,150.81815068114773,3.966666666666667,853.13
castelo-branco,2024Q1,877.6666666666666,6.7772668708282,0.05223322866135671,0.1652258359951082,33077,6730533,203480.7570214953,168.28967248471187,146.18214763172722,3.813333333333333,664.25
castelo-branco,2024Q2,852.6666666666666,6.748368693470678,-0.028898177357521426,0.09550566411733108,37125,7876682,212166.5185185185,175.47327047702692,164.072081229491,3.8699999999999997,863.79
castelo-branco,2024Q3,853.6666666666666,6.749540797531416,0.0011721040607373112,0.10879388351042696,40909,9052016,221271.99393776432,183.003994750677,180.7952800274006,3.6733333333333333,962.02
castelo-branco,2024Q4,877.3333333333334,6.776887003777098,0.027346206245682403,0.051853361610255,45214,10173942,225017.51669836772,186.10174614443363,199.8210122750224,3.41,1048.07
castelo-branco,2025Q1,907.0,6.810142450115136,0.03325544633803812,0.03287557928693641,41358,9617638,232546.01286329125,192.3282226547581,182.77961307715256,3.4499999999999997,968.9
coimbra,2015Q1,941.3333333333334,6.847297309945023,,,21762,2662680,122354.5629997243,101.19388995618124,96.176070887978,,319.12
coimbra,2015Q2,983.6666666666666,6.89128708627483,0.043989776329807384,,20614,2509888,121756.47618123604,100.69923957118108,91.10254228861218,,297.14
coimbra,2015Q3,1059.6666666666667,6.965709672242693,0.07442258596786289,,22928,2697752,117661.89811584089,97.31280042246271,101.32914958733386,,319.68
coimbra,2015Q4,1116.0,7.017506142941256,0.05179647069856319,,25205,3071762,121871.13667923032,100.79407005017497,111.39223723607596,,405.34
coimbra,2016Q1,1072.0,6.977281341630747,-0.04022480131050887,0.1299840316857246,24926,3001077,120399.46240872984,99.57691524589762,110.1592106862301,,434.9
coimbra,2016Q2,1061.6666666666667,6.967595279338154,-0.009686062292593611,0.07630819306332359,26890,3267885,121527.89140944587,100.5101875107177,118.83901048514512,,401.38
coimbra,2016Q3,1049.6666666666667,6.956227932432915,-0.011367346905238662,-0.009481739809777956,26675,3173236,118959.17525773196,98.38571929954205,117.8888287352639,,331.47
